surv_month,irrigation,species,size,score,
1,high,arcto,4in,4.8,
2,high,arcto,4in,4.4,
3,high,arcto,4in,3.8,
4,high,arcto,4in,3.8,
5,high,arcto,4in,3.8,
6,high,arcto,4in,3.8,
7,high,arcto,4in,3.4,
8,high,arcto,4in,4,
9,high,arcto,4in,3.8,
10,high,arcto,4in,3.4,
11,high,arcto,4in,3.8,
12,high,arcto,4in,4,
13,high,arcto,4in,4.4,
14,high,arcto,4in,4.2,
15,high,arcto,4in,3.6,
16,high,arcto,4in,3.6,
17,high,arcto,4in,3.8,
18,high,arcto,4in,4,
19,high,arcto,4in,4,
20,high,arcto,4in,4,
21,high,arcto,4in,4,
22,high,arcto,4in,4.2,
23,high,arcto,4in,4.6,
1,high,arcto,1gal,4.4286,
2,high,arcto,1gal,4.7143,
3,high,arcto,1gal,4.4286,
4,high,arcto,1gal,4.2857,
5,high,arcto,1gal,4.5714,
6,high,arcto,1gal,4.5714,
7,high,arcto,1gal,4.2857,
8,high,arcto,1gal,4.8571,
9,high,arcto,1gal,4.5714,
10,high,arcto,1gal,4.5714,
11,high,arcto,1gal,4.5714,
12,high,arcto,1gal,4.7143,
13,high,arcto,1gal,4.4286,
14,high,arcto,1gal,4.8571,
15,high,arcto,1gal,4.4286,
16,high,arcto,1gal,4.7143,
17,high,arcto,1gal,4.1429,
18,high,arcto,1gal,3.8571,
19,high,arcto,1gal,3.5714,
20,high,arcto,1gal,3.2857,
21,high,arcto,1gal,2.8571,
22,high,arcto,1gal,2.8571,
23,high,arcto,1gal,3.1429,
1,low,arcto,4in,4.8,
2,low,arcto,4in,3.6,
3,low,arcto,4in,4.2,
4,low,arcto,4in,4.2,
5,low,arcto,4in,3.6,
6,low,arcto,4in,4.4,
7,low,arcto,4in,3.4,
8,low,arcto,4in,3.2,
9,low,arcto,4in,3.6,
10,low,arcto,4in,3.6,
11,low,arcto,4in,2.6,
12,low,arcto,4in,3,
13,low,arcto,4in,4,
14,low,arcto,4in,3.4,
15,low,arcto,4in,3.4,
16,low,arcto,4in,3.4,
17,low,arcto,4in,3.2,
18,low,arcto,4in,3.2,
19,low,arcto,4in,3.4,
20,low,arcto,4in,3.4,
21,low,arcto,4in,3.4,
22,low,arcto,4in,2.8,
23,low,arcto,4in,3.6,
1,low,arcto,1gal,4.333333333,
2,low,arcto,1gal,4.333333333,
3,low,arcto,1gal,4,
4,low,arcto,1gal,4.333333333,
5,low,arcto,1gal,4.666666667,
6,low,arcto,1gal,4.666666667,
7,low,arcto,1gal,4.666666667,
8,low,arcto,1gal,4.666666667,
9,low,arcto,1gal,4,
10,low,arcto,1gal,4.666666667,
11,low,arcto,1gal,4.666666667,
12,low,arcto,1gal,4.666666667,
13,low,arcto,1gal,5,
14,low,arcto,1gal,5,
15,low,arcto,1gal,4.666666667,
16,low,arcto,1gal,4,
17,low,arcto,1gal,4,
18,low,arcto,1gal,4.333333333,
19,low,arcto,1gal,4.333333333,
20,low,arcto,1gal,4.666666667,
21,low,arcto,1gal,4,
